run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
0,46591.8,-4281.47,34635.2,1.15258,0.992899,0.984655,1.00628,1.00486,0.246613,-0.0023934,8.50014,1.02117,1.16935,0.96648,1
1,86963.2,6837.79,10421.5,1.00094,0.987614,1.00138,1.02921,1.24504,-0.0833747,-0.00141602,5.65171,0.95289,1.01949,0.903539,1
2,85317.4,-71233.9,-21531.1,1.30151,0.954495,1.00721,1.02483,1.26442,0.0643437,0.000661944,6.52976,0.983259,0.943561,1.01196,1
3,81399.2,-20187.2,43011.2,1.20812,0.963716,0.99615,1.04575,0.971638,0.179256,-0.000620665,8.49235,0.985946,1.00218,0.974602,1
4,81211.4,-35051.8,21996.2,0.804658,1.01513,1.0174,1.01784,1.04582,-0.00742495,-0.000309882,6.46153,1.10591,1.0059,1.17497,1
5,21961.1,11004.5,13370.1,1.115,1.00897,1.01448,1.00086,0.963469,-0.0611881,0.00139284,12.4677,1.09689,1.5227,1.01183,1
6,101739,2294.1,10760.6,0.931595,0.985336,0.99596,1.01704,0.968927,-0.218384,-0.000234971,6.05619,0.918509,0.964414,0.878666,1
7,68122.1,14027.7,-30833.2,0.525986,0.993719,0.993067,1.00609,0.92552,-0.115603,-0.000476912,10.0175,1.04447,1.07488,1.02685,1
8,83392.4,-24955.6,5560.41,0.802148,1.02476,0.991226,0.975985,1.07412,0.0424889,-0.000501766,7.87953,0.980208,1.04911,0.93132,1
9,21880.7,7436.03,9769.44,0.833305,0.980018,1.00895,0.962927,0.758054,0.109443,-0.00128454,11.9088,1.15996,1.37935,1.11615,1
10,22117.9,3716.78,7869.28,0.907483,1.01155,1.00545,1.02014,0.780458,-0.0480475,0.00110757,13.1853,1.14611,1.82904,1.00971,1
11,37441.9,11104,-24836.9,1.12501,1.00229,1.00255,0.996076,0.768567,0.0262035,-0.000724693,10.7971,1.20109,1.85035,1.03259,1
12,97490.8,-44310.3,45509.6,1.07088,0.996032,1.00007,1.03952,1.00289,0.121487,0.000302493,6.4259,0.976666,0.964287,0.98694,1
13,103824,-5766.65,26084.3,0.778689,1.04963,1.0029,1.00139,1.12407,0.0333768,-0.00130425,7.609,0.940048,1.01891,0.869985,1
14,35766.6,-24241.4,12774.8,1.0295,0.99009,0.995295,0.985274,0.929607,0.135314,-0.000604536,7.88702,1.09446,1.30275,1.04727,1
15,42073.7,-37135.7,6114.29,1.0382,0.974115,0.99225,0.990215,0.748689,0.312474,0.00121506,8.14815,1.10318,1.17117,1.08145,1
16,91750.7,-22169.1,27667.1,0.918869,1.01429,1.01388,1.02816,0.816364,-0.20553,-0.00030453,5.56673,0.985291,1.00568,0.969293,1
17,71256.7,-32828.3,14654.5,0.863183,1.01386,1.00632,1.0025,1.03227,0.131057,-0.00152853,7.29182,1.02198,1.05456,1.00228,1
18,83015.1,-41745.4,57363.1,0.9108,0.993092,0.999341,1.00458,1.03829,0.0279415,-0.000833159,6.10265,0.938931,1.00116,0.895321,1
19,75515.7,16637.6,19066.1,1.43019,1.00372,1.01244,1.02093,0.724235,-0.195667,0.000918156,5.72416,1.01799,1.02005,1.01665,1
