run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
0,48215.5,nan,nan,1.00784,0.963155,1.00857,1.02972,0.869377,0.0231251,-0.00127484,13.7368,0.902018,0.868831,0.910799,0
1,46536.3,nan,nan,0.991055,0.984615,0.987355,1.02993,1.19568,0.0358272,0.00217405,145.343,1.43517,3.1679,0.991605,0
2,48920.9,nan,nan,1.18924,1.01943,0.984023,1.04586,1.17688,-0.0125771,0.00260474,122.811,1.21825,2.75344,0.809685,0
3,53507.4,nan,nan,1.26922,1.02085,0.985225,0.987844,1.01185,-0.0625085,0.00137998,5.10595,0.881125,0.676594,0.939423,0
4,48904.3,nan,nan,1.34685,0.982983,0.991176,1.00718,1.02445,0.0940132,0.000519646,129.655,1.35787,2.93972,0.935952,0
5,57439.1,nan,nan,0.869562,1.02515,0.983293,0.957455,0.928402,0.0442191,0.000328607,6.90903,0.867245,0.710613,0.914266,0
6,52141.4,nan,nan,1.21222,0.993779,0.996063,0.96395,1.17079,0.112015,-0.00263593,15.3118,0.89393,0.847135,0.907042,0
7,51074.1,nan,nan,0.922522,0.973103,0.977696,1.04047,0.998221,-0.114754,0.0012078,16.014,0.960183,0.892328,0.978943,0
8,45433.2,nan,nan,1.00362,0.985465,0.989212,1.05559,0.544386,-0.07701,-3.93761e-05,58.0383,1.04681,1.60021,0.907239,0
9,48017,nan,nan,0.956662,1.00505,1.00935,0.983537,1.0266,0.134186,-0.00254495,37.0953,1.01835,1.27306,0.951105,0
10,35.6611,-58.6646,-6.17058,1.00271,0.994466,1.0149,1.04235,0.957092,0.0225207,-1.99322e-05,29.4354,1.01807,1.04824,1.01244,1
11,50567.8,nan,nan,1.0569,0.982938,0.985159,0.953507,1.13995,-0.0558631,-0.000432561,41.768,1.00517,1.31738,0.919483,0
12,51535.3,nan,nan,0.876646,1.0454,1.00259,1.01046,1.17462,-0.189445,0.000886537,65.1514,1.10268,1.71323,0.93286,0
13,50997.6,nan,nan,0.859312,1.02215,1.00702,1.02287,1.10976,0.0220433,-0.000395008,10.133,0.928584,0.74814,0.978356,0
14,44392.2,nan,nan,1.18399,1.02563,1.00738,0.974716,1.03947,-0.23384,0.00179043,70.5793,1.11285,1.87846,0.923581,0
15,49794.7,nan,nan,0.845668,1.02314,0.999398,0.960619,1.10682,0.0463182,0.00045531,48.4267,1.08487,1.44752,0.987097,0
16,47024,nan,nan,0.998042,1.00369,1.02124,1.00574,1.26693,0.0353967,0.000854569,135.561,1.41166,3.01183,0.998133,0
17,45477,nan,nan,0.831002,0.969061,1.00158,1.01586,0.921093,0.102682,0.000556038,203.528,1.57928,4.19077,0.920902,0
18,50166.1,nan,nan,1.14254,1.00018,0.999674,0.978337,0.967868,0.0882011,-0.000463231,42.9942,1.10519,1.34075,1.04125,0
19,46580.9,nan,nan,0.64108,1.00402,1.00743,1.00837,1.02771,0.0221206,-0.00178294,75.5418,1.194,1.96397,0.995957,0
20,56194.7,nan,nan,0.980497,1.03171,0.986085,1.01949,1.0398,0.137214,0.000864526,97.7737,1.11364,2.3354,0.752481,0
21,51800.5,nan,nan,1.23606,1.02652,1.00717,1.01691,0.757617,-0.191921,0.0011529,76.5695,1.20191,1.92902,0.99854,0
22,51622.1,nan,nan,0.961011,1.01711,0.991951,1.01333,0.616995,0.165567,0.00100435,187.649,1.49978,3.91242,0.829348,0
23,27866.6,nan,nan,1.21225,0.988191,1.00862,0.99384,1.32923,-0.239829,-0.00143751,667.18,2.90053,12.4816,0.990704,0
24,50903.9,nan,nan,0.988129,1.00257,0.988469,0.975492,1.20862,-0.0401697,-9.80567e-05,19.1457,0.908753,0.930404,0.902798,0
25,48524.8,nan,nan,1.34985,0.998943,1.00586,0.947693,0.617243,-0.121568,-6.8204e-05,76.8577,1.18323,1.90045,0.99219,0
26,48864.7,nan,nan,1.04899,1.02661,1.01031,0.941585,1.04207,-0.0432652,-0.000580722,64.5726,1.09694,1.75338,0.922002,0
27,24.4612,-34.8201,-0.878189,1.20991,1.01017,1.00563,1.00396,0.830333,-0.0143286,0.00293667,284.672,1.45207,5.59226,0.699309,1
28,48998.7,nan,nan,1.31414,0.999652,1.00188,0.986992,1.03651,0.0709955,0.00082325,130.18,1.32739,2.86433,0.917448,0
29,49593.7,nan,nan,1.14319,0.989298,0.994498,0.969417,1.12504,0.163265,-0.000923678,136.06,1.42208,2.99128,0.999381,0
30,51101,nan,nan,1.11634,1.00168,1.0006,0.992661,1.00854,0.205631,-0.00174818,103.547,1.24312,2.45628,0.908344,0
31,45582.2,nan,nan,0.922441,0.980401,1.00386,1.01861,0.880023,-0.210932,0.00191701,102.515,1.27389,2.41868,0.983439,0
32,16.3949,33.159,20.5387,0.878324,0.981462,0.986648,1.02331,1.01997,-0.0947877,-0.00235017,390.063,1.84599,8.0154,0.72428,1
33,45026.2,nan,nan,1.27716,0.957534,1.00166,0.965961,1.49704,0.226017,-0.000299346,338.813,2.04482,6.62665,0.898406,0
34,38.0132,47.5427,5.37623,0.851168,0.963296,0.998249,0.997612,1.08111,-0.0154346,-0.00114911,91.2191,1.18729,2.48283,0.944959,1
35,16.5922,-31.9448,-7.80643,0.892131,0.986872,1.00232,0.99456,1.07499,0.0769264,0.000304442,239.803,1.37589,5.77039,0.551921,1
36,41977,nan,nan,0.828375,1.01998,0.987083,1.00607,0.803605,0.256088,0.000955164,508.741,2.47483,9.6792,0.769955,0
37,44397.7,nan,nan,1.23444,0.987499,1.00037,0.9634,1.15428,-0.102419,-0.000274512,143.459,1.3075,3.14351,0.852495,0
38,43100.1,nan,nan,1.27961,0.969738,1.01371,1.01766,0.961735,-0.0718776,-0.000328318,112.241,1.30741,2.57534,1.00043,0
39,19.6328,35.4353,12.4344,0.860951,0.98278,0.986724,0.961592,1.53171,-0.0854068,-0.000164156,226.873,1.42569,5.26873,0.700593,1
40,47938.5,nan,nan,1.14605,0.986108,0.996317,1.00834,1.12131,0.121482,-0.000192259,140.903,1.30467,3.10749,0.831404,0
41,50333.9,nan,nan,0.697354,0.992334,1.00234,1.02766,0.866267,0.174103,0.00053319,180.336,1.46874,3.82931,0.824462,0
42,47839.2,nan,nan,1.0434,1.02314,1.00879,0.953431,0.975284,-0.235015,0.000333667,214.816,1.60201,4.38312,0.86807,0
43,50776.8,nan,nan,0.992797,0.979219,0.982096,1.04051,0.94428,0.121725,-0.00133919,19.6826,0.86286,0.926614,0.845308,0
44,49515.8,nan,nan,0.826336,1.01734,0.997498,1.00489,0.83522,0.0199842,0.000854476,6.17566,0.896985,0.64937,0.963356,0
45,32926.6,nan,nan,0.950283,0.986147,1.0111,1.02809,0.734515,0.344027,0.000508475,817.967,3.40398,15.2356,1.04554,0
46,50696.3,nan,nan,0.645649,1.0403,0.994698,0.979123,0.891503,0.000986383,-0.000551313,14.1033,0.842758,0.849245,0.840984,0
47,25.0436,36.5527,-1.28667,1.29748,1.02059,1.00684,1.07397,1.32278,-0.019684,-0.00353953,490.263,1.9754,9.51184,0.549591,1
48,27.7819,-38.6497,11.0417,0.99516,0.990993,0.982419,1.00207,0.90309,0.0126888,0.00134055,184.259,1.46905,4.49793,0.893315,1
49,50067.3,nan,nan,0.968661,1.01328,1.0054,1.01695,1.34802,0.047476,-0.000396635,21.3824,0.884309,0.950656,0.866332,0
50,44193,nan,nan,0.86455,0.989019,1.00335,1.00252,0.975765,0.257347,-0.000168085,452.023,2.52323,8.66423,1.00762,0
51,49225,nan,nan,0.529901,0.957778,0.985042,0.98525,0.653701,0.203445,-0.000196853,129.946,1.48233,2.93095,1.09335,0
52,52183.8,nan,nan,0.780841,1.01534,1.01081,0.983704,0.656934,-0.062239,0.000851,9.3902,0.894853,0.757858,0.933279,0
53,47529.2,nan,nan,1.04665,1.00055,1.00358,1.02461,1.24084,0.0868254,0.000181638,142.457,1.27187,3.11928,0.789658,0
