run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
0,80942.1,-37302.5,-8497.5,1.00784,0.963155,1.00857,1.02972,0.869377,0.0231251,-0.00127484,3.13561,0.80537,0.531052,0.995298,1
1,23.8458,-37.1375,3.02069,0.991055,0.984615,0.987355,1.02993,1.19568,0.0358272,0.00217405,30.8033,0.864822,1.29854,0.785241,1
2,95110.7,36308.8,-3652.81,1.18924,1.01943,0.984023,1.04586,1.17688,-0.0125771,0.00260474,5.5391,0.736218,0.549154,0.887858,1
3,97041.5,-41338.1,16150.3,1.26922,1.02085,0.985225,0.987844,1.01185,-0.0625085,0.00137998,2.63484,0.789049,0.51467,1.0164,1
4,89806.7,28009.4,-10269.6,1.34685,0.982983,0.991176,1.00718,1.02445,0.0940132,0.000519646,5.18694,0.776345,0.547293,0.951866,1
5,91539.4,-6297.62,-14620.1,0.869562,1.02515,0.983293,0.957455,0.928402,0.0442191,0.000328607,2.99037,0.721626,0.532281,0.869405,1
6,89140.6,-50803.4,-617.828,1.21222,0.993779,0.996063,0.96395,1.17079,0.112015,-0.00263593,3.82491,0.813152,0.528512,1.03099,1
7,94184.2,-55503.7,13661.1,0.922522,0.973103,0.977696,1.04047,0.998221,-0.114754,0.0012078,4.95251,0.840633,0.554346,1.0716,1
8,86545.3,-62658.4,-5385.05,1.00362,0.985465,0.989212,1.05559,0.544386,-0.07701,-3.93761e-05,4.57373,0.783899,0.549372,0.957203,1
9,67583.8,-16628,2995.43,0.956662,1.00505,1.00935,0.983537,1.0266,0.134186,-0.00254495,3.46481,0.82278,0.539808,0.983535,1
10,82110.8,-25768,11050.1,1.00271,0.994466,1.0149,1.04235,0.957092,0.0225207,-1.99322e-05,3.34915,0.822577,0.527094,1.0295,1
11,84989.8,-55426.2,7157.16,1.0569,0.982938,0.985159,0.953507,1.13995,-0.0558631,-0.000432561,2.90265,0.786356,0.518042,0.98251,1
12,92470.1,-104978,10537.2,0.876646,1.0454,1.00259,1.01046,1.17462,-0.189445,0.000886537,4.69077,0.797301,0.54587,0.996195,1
13,92552.3,-48611.1,920.174,0.859312,1.02215,1.00702,1.02287,1.10976,0.0220433,-0.000395008,3.61509,0.885128,0.524432,1.17059,1
14,92838.5,-106526,25725.4,1.18399,1.02563,1.00738,0.974716,1.03947,-0.23384,0.00179043,5.66052,0.811035,0.560942,1.01,1
15,94986.2,8302.87,3273.53,0.845668,1.02314,0.999398,0.960619,1.10682,0.0463182,0.00045531,3.81831,0.764078,0.533712,0.950682,1
16,83884.7,26026.8,-6333.81,0.998042,1.00369,1.02124,1.00574,1.26693,0.0353967,0.000854569,4.74626,0.801798,0.549861,0.981844,1
17,81550.9,31032.2,-8752.71,0.831002,0.969061,1.00158,1.01586,0.921093,0.102682,0.000556038,5.95873,0.789264,0.577932,0.936048,1
18,79256.3,22610.4,-16975.4,1.14254,1.00018,0.999674,0.978337,0.967868,0.0882011,-0.000463231,4.03264,0.857616,0.535162,1.07579,1
19,81556.7,-71314.7,2115.63,0.64108,1.00402,1.00743,1.00837,1.02771,0.0221206,-0.00178294,4.19893,0.8418,0.523715,1.06307,1
20,79539.4,16320,10948.9,0.980497,1.03171,0.986085,1.01949,1.0398,0.137214,0.000864526,4.34632,0.715901,0.558877,0.82168,1
21,93726.8,-89754.5,21067.4,1.23606,1.02652,1.00717,1.01691,0.757617,-0.191921,0.0011529,4.62486,0.795839,0.547647,0.995028,1
22,95463.4,31947.4,-19426.6,0.961011,1.01711,0.991951,1.01333,0.616995,0.165567,0.00100435,5.8547,0.756057,0.577448,0.901584,1
23,41021.7,-96296.2,9450.85,1.21225,0.988191,1.00862,0.99384,1.32923,-0.239829,-0.00143751,20.479,0.98036,0.801436,1.03508,1
24,75543.5,-42897.4,9217.6,0.988129,1.00257,0.988469,0.975492,1.20862,-0.0401697,-9.80567e-05,3.1603,0.779412,0.533726,0.937971,1
25,87620.3,-86634.8,17484.4,1.34985,0.998943,1.00586,0.947693,0.617243,-0.121568,-6.8204e-05,3.59404,0.782094,0.539247,0.964245,1
26,91468.3,-64599.5,19964,1.04899,1.02661,1.01031,0.941585,1.04207,-0.0432652,-0.000580722,3.95091,0.765783,0.535012,0.945943,1
27,87424.3,32523.7,-7963.95,1.20991,1.01017,1.00563,1.00396,0.830333,-0.0143286,0.00293667,5.17212,0.784934,0.556015,0.95534,1
28,77338.7,36777.9,-10788.8,1.31414,0.999652,1.00188,0.986992,1.03651,0.0709955,0.00082325,6.93366,0.835564,0.591796,0.996363,1
29,70197.6,48896.7,-11425.5,1.14319,0.989298,0.994498,0.969417,1.12504,0.163265,-0.000923678,5.52454,0.84329,0.556724,1.01522,1
30,92925.3,36238,-18352.9,1.11634,1.00168,1.0006,0.992661,1.00854,0.205631,-0.00174818,4.41762,0.818115,0.536708,1.04181,1
31,81008.4,-94380.2,24813.8,0.922441,0.980401,1.00386,1.01861,0.880023,-0.210932,0.00191701,4.94,0.82963,0.55295,1.02138,1
32,67197.8,-108125,16009.2,0.878324,0.981462,0.986648,1.02331,1.01997,-0.0947877,-0.00235017,9.94847,0.856833,0.619047,0.991998,1
33,82441.3,33284.1,-19341.9,1.27716,0.957534,1.00166,0.965961,1.49704,0.226017,-0.000299346,7.39621,0.794446,0.600309,0.930986,1
34,66593.4,-45532.3,-6337.35,0.851168,0.963296,0.998249,0.997612,1.08111,-0.0154346,-0.00114911,3.61789,0.847494,0.554755,1.01266,1
35,16.6604,-35.6161,-0.519667,0.892131,0.986872,1.00232,0.99456,1.07499,0.0769264,0.000304442,37.4811,0.554675,1.48364,0.383018,1
36,85126.9,95127.5,-20381.1,0.828375,1.01998,0.987083,1.00607,0.803605,0.256088,0.000955164,10.6755,0.81053,0.650213,0.926862,1
37,82866.9,-89297.1,15612.4,1.23444,0.987499,1.00037,0.9634,1.15428,-0.102419,-0.000274512,5.17483,0.787647,0.562351,0.947148,1
38,77892.7,-71641.3,15312.1,1.27961,0.969738,1.01371,1.01766,0.961735,-0.0718776,-0.000328318,4.39335,0.764602,0.551258,0.906325,1
39,82264.9,-78014.3,9293.29,0.860951,0.98278,0.986724,0.961592,1.53171,-0.0854068,-0.000164156,5.86029,0.797502,0.564238,0.961088,1
40,81568,27644.9,-23106,1.14605,0.986108,0.996317,1.00834,1.12131,0.121482,-0.000192259,10.6048,0.837189,0.658568,0.961476,1
41,88442.9,31481,-20366.6,0.697354,0.992334,1.00234,1.02766,0.866267,0.174103,0.00053319,6.1865,0.768466,0.567434,0.920445,1
42,96502,-97135.5,28638.5,1.0434,1.02314,1.00879,0.953431,0.975284,-0.235015,0.000333667,7.28927,0.769397,0.590002,0.917712,1
43,93122.8,-17116.6,-10079.9,0.992797,0.979219,0.982096,1.04051,0.94428,0.121725,-0.00133919,3.34553,0.7339,0.532284,0.894494,1
44,89752,1192.8,6563.44,0.826336,1.01734,0.997498,1.00489,0.83522,0.0199842,0.000854476,2.94305,0.763165,0.510112,0.956257,1
45,11.1064,-25.4306,-5.94261,0.950283,0.986147,1.0111,1.02809,0.734515,0.344027,0.000508475,202.733,1.30829,5.10843,0.643268,1
46,99378.4,-42962.3,1751.98,0.645649,1.0403,0.994698,0.979123,0.891503,0.000986383,-0.000551313,2.72383,0.704504,0.51667,0.86384,1
47,79694.1,-110369,-14329.4,1.29748,1.02059,1.00684,1.07397,1.32278,-0.019684,-0.00353953,7.20252,0.774865,0.595306,0.896968,1
48,87945.8,18818.6,3014.68,0.99516,0.990993,0.982419,1.00207,0.90309,0.0126888,0.00134055,4.51156,0.788874,0.5595,0.961146,1
