run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,mean_nees,mean_nis,mean_gps_nis,mean_baro_nis,impact_valid
0,82318.5,-45834.1,-15969.6,1.00784,0.963155,1.00857,1.02972,0.869377,0.0231251,-0.00127484,4.46494,0.796714,0.571134,0.955485,1
1,79055.6,65191.9,-3786.75,0.991055,0.984615,0.987355,1.02993,1.19568,0.0358272,0.00217405,33.9261,1.04443,1.07423,1.02449,1
2,85655.3,75341,-3210.02,1.18924,1.01943,0.984023,1.04586,1.17688,-0.0125771,0.00260474,28.3811,0.985868,0.970191,0.997288,1
3,98488.3,-38755.7,-5632.91,1.26922,1.02085,0.985225,0.987844,1.01185,-0.0625085,0.00137998,2.63708,0.789926,0.523462,1.01398,1
4,85039.9,67756.8,-11287.1,1.34685,0.982983,0.991176,1.00718,1.02445,0.0940132,0.000519646,28.9953,0.93923,0.994175,0.899361,1
5,110416,-10031.1,-534.429,0.869562,1.02515,0.983293,0.957455,0.928402,0.0442191,0.000328607,3.93766,1.2959,0.605021,1.94719,1
6,93989.9,-58961.5,-9246.76,1.21222,0.993779,0.996063,0.96395,1.17079,0.112015,-0.00263593,5.54706,0.767656,0.569309,0.92722,1
7,90462.3,-58635,31310.3,0.922522,0.973103,0.977696,1.04047,0.998221,-0.114754,0.0012078,5.86653,0.860841,0.583027,1.07593,1
8,75051.5,-98274.7,4223.53,1.00362,0.985465,0.989212,1.05559,0.544386,-0.07701,-3.93761e-05,14.5182,0.847433,0.744028,0.913415,1
9,81579.3,-58988.5,2174.25,0.956662,1.00505,1.00935,0.983537,1.0266,0.134186,-0.00254495,9.36561,0.825782,0.661619,0.940435,1
10,35.6611,-58.6646,-6.17058,1.00271,0.994466,1.0149,1.04235,0.957092,0.0225207,-1.99322e-05,29.4354,1.01807,1.04824,1.01244,1
11,89045,-83264.6,15556.2,1.0569,0.982938,0.985159,0.953507,1.13995,-0.0558631,-0.000432561,10.2619,0.831928,0.656189,0.966015,1
12,92058.7,-117561,13374.7,0.876646,1.0454,1.00259,1.01046,1.17462,-0.189445,0.000886537,16.2339,0.978553,0.752926,1.15629,1
13,90553.5,-56711,-3525.41,0.859312,1.02215,1.00702,1.02287,1.10976,0.0220433,-0.000395008,4.67943,0.849421,0.55414,1.07817,1
14,72640.9,-105908,41537.6,1.18399,1.02563,1.00738,0.974716,1.03947,-0.23384,0.00179043,17.7385,0.888537,0.814874,0.933967,1
