run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,impact_valid
0,117278,2497.54,185.258,1.15258,0.992899,0.984655,1.00628,1.00486,1
1,111927,2102.45,159.02,1.00094,0.987614,1.00138,1.02921,1.24504,1
2,102423,2621.22,197.929,1.30151,0.954495,1.00721,1.02483,1.26442,1
3,106175,2490.98,191.692,1.20812,0.963716,0.99615,1.04575,0.971638,1
4,116523,1700.4,126.77,0.804658,1.01513,1.0174,1.01784,1.04582,1
5,115915,2354.81,172.997,1.115,1.00897,1.01448,1.00086,0.963469,1
6,112686,1969.37,147.451,0.931595,0.985336,0.99596,1.01704,0.968927,1
7,115827,1127.06,83.5154,0.525986,0.993719,0.993067,1.00609,0.92552,1
8,125804,1781.78,128.026,0.802148,1.02476,0.991226,0.975985,1.07412,1
9,110306,1728.08,122.914,0.833305,0.980018,1.00895,0.962927,0.758054,1
10,117843,1942.81,145.373,0.907483,1.01155,1.00545,1.02014,0.780458,1
11,116580,2401.08,175.949,1.12501,1.00229,1.00255,0.996076,0.768567,1
12,114143,2270.8,173.222,1.07088,0.996032,1.00007,1.03952,1.00289,1
13,129649,1739,127.494,0.778689,1.04963,1.0029,1.00139,1.12407,1
14,114993,2194.92,159.538,1.0295,0.99009,0.995295,0.985274,0.929607,1
15,111133,2186.32,159.933,1.0382,0.974115,0.99225,0.990215,0.748689,1
16,116697,1948.06,146.651,0.918869,1.01429,1.01388,1.02816,0.816364,1
17,118808,1852.68,136.377,0.863183,1.01386,1.00632,1.0025,1.03227,1
18,114471,1933.36,142.968,0.9108,0.993092,0.999341,1.00458,1.03829,1
19,114342,3008.28,225.22,1.43019,1.00372,1.01244,1.02093,0.724235,1
20,113700,1626.58,117.597,0.769761,0.988891,1.00102,0.980047,0.827374,1
21,121842,3008.91,215.207,1.37881,1.01458,0.996992,0.97094,0.776302,1
22,106901,2611.04,196.204,1.24943,0.95255,0.980463,1.01609,1.03498,1
23,125336,1992.76,143.283,0.900109,1.02513,0.993749,0.977047,0.837241,1
24,119136,1892.05,134.553,0.881012,1.01101,1.00611,0.965469,1.28344,1
25,121087,2048.64,151.165,0.947307,1.02323,1.0073,1.00621,1.15323,1
26,110751,2237.26,166.049,1.06892,0.979506,0.999388,1.00728,1.29414,1
