run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale,thrust_misalignment_deg,cg_offset_m,impact_valid
0,136.541,-335.703,343.621,1.15258,0.992899,0.984655,1.00628,1.00486,0.246613,-0.023934,1
1,650.563,1735,-1546.12,1.00094,0.987614,1.00138,1.02921,1.24504,-0.0833747,-0.0141602,1
2,1668.23,4408.48,-3230.05,1.30151,0.954495,1.00721,1.02483,1.26442,0.0643437,0.00661944,1
3,681.361,-1562.45,1763.23,1.20812,0.963716,0.99615,1.04575,0.971638,0.179256,-0.00620665,1
4,59339.8,167978,-89692.4,0.804658,1.01513,1.0174,1.01784,1.04582,-0.00742495,-0.00309882,1
5,898.628,-2069.42,2425.35,1.115,1.00897,1.01448,1.00086,0.963469,-0.0611881,0.0139284,1
6,1477.2,3875.26,-2951.26,0.931595,0.985336,0.99596,1.01704,0.968927,-0.218384,-0.00234971,1
7,1390.85,4272.51,-3294.9,0.525986,0.993719,0.993067,1.00609,0.92552,-0.115603,-0.00476912,1
8,3610.88,-4884.71,9831.26,0.802148,1.02476,0.991226,0.975985,1.07412,0.0424889,-0.00501766,1
9,540.397,-1269.47,1395.08,0.833305,0.980018,1.00895,0.962927,0.758054,0.109443,-0.0128454,1
10,1442.06,-3169.87,4152.47,0.907483,1.01155,1.00545,1.02014,0.780458,-0.0480475,0.0110757,1
11,3796.85,-4457.93,8311.7,1.12501,1.00229,1.00255,0.996076,0.768567,0.0262035,-0.00724693,1
12,2002.25,6193.53,-4384.75,1.07088,0.996032,1.00007,1.03952,1.00289,0.121487,0.00302493,1
13,1823.97,-4010.96,5524.48,0.778689,1.04963,1.0029,1.00139,1.12407,0.0333768,-0.0130425,1
14,948.822,-2064.4,2447.15,1.0295,0.99009,0.995295,0.985274,0.929607,0.135314,-0.00604536,1
15,200.867,521.842,-504.047,1.0382,0.974115,0.99225,0.990215,0.748689,0.312474,0.0121506,1
16,1227.21,3493.06,-2778.59,0.918869,1.01429,1.01388,1.02816,0.816364,-0.20553,-0.0030453,1
17,395.522,-948.164,1015.05,0.863183,1.01386,1.00632,1.0025,1.03227,0.131057,-0.0152853,1
18,3287.84,-5643.7,10356.1,0.9108,0.993092,0.999341,1.00458,1.03829,0.0279415,-0.00833159,1
