run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale
0,23809.3,23809.3,0,1.15258,0.992899,0.984655,1.00628,1.00486
1,23282.7,23282.7,0,1.00094,0.987614,1.00138,1.02921,1.24504
2,22277.7,22277.7,0,1.30151,0.954495,1.00721,1.02483,1.26442
3,22696.8,22696.8,0,1.20812,0.963716,0.99615,1.04575,0.971638
4,23742.4,23742.4,0,0.804658,1.01513,1.0174,1.01784,1.04582
5,23671.2,23671.2,0,1.115,1.00897,1.01448,1.00086,0.963469
6,23349.3,23349.3,0,0.931595,0.985336,0.99596,1.01704,0.968927
7,23654.5,23654.5,0,0.525986,0.993719,0.993067,1.00609,0.92552
8,24623.2,24623.2,0,0.802148,1.02476,0.991226,0.975985,1.07412
9,23057.5,23057.5,0,0.833305,0.980018,1.00895,0.962927,0.758054
10,23877.2,23877.2,0,0.907483,1.01155,1.00545,1.02014,0.780458
11,23732.9,23732.9,0,1.12501,1.00229,1.00255,0.996076,0.768567
12,23519.8,23519.8,0,1.07088,0.996032,1.00007,1.03952,1.00289
13,25015.7,25015.7,0,0.778689,1.04963,1.0029,1.00139,1.12407
14,23560.2,23560.2,0,1.0295,0.99009,0.995295,0.985274,0.929607
15,23167.2,23167.2,0,1.0382,0.974115,0.99225,0.990215,0.748689
16,23769.6,23769.6,0,0.918869,1.01429,1.01388,1.02816,0.816364
17,23959.2,23959.2,0,0.863183,1.01386,1.00632,1.0025,1.03227
18,23522,23522,0,0.9108,0.993092,0.999341,1.00458,1.03829
19,23531.6,23531.6,0,1.43019,1.00372,1.01244,1.02093,0.724235
