run,apogee_m,impact_x_m,impact_y_m,wind_scale,thrust_scale,dry_mass_scale,aero_scale,sensor_bias_scale
0,105318,105318,635.275,1.15258,0.992899,0.984655,1.00628,1.00486
1,101677,101677,546.75,1.00094,0.987614,1.00138,1.02921,1.24504
2,94959.7,94959.7,706.576,1.30151,0.954495,1.00721,1.02483,1.26442
3,97655.3,97655.2,661.393,1.20812,0.963716,0.99615,1.04575,0.971638
4,104814,104814,435.957,0.804658,1.01513,1.0174,1.01784,1.04582
5,104397,104397,604.348,1.115,1.00897,1.01448,1.00086,0.963469
6,102197,102197,510.094,0.931595,0.985336,0.99596,1.01704,0.968927
7,104338,104338,288.488,0.525986,0.993719,0.993067,1.00609,0.92552
8,110943,110943,440.539,0.802148,1.02476,0.991226,0.975985,1.07412
9,100535,100535,451.343,0.833305,0.980018,1.00895,0.962927,0.758054
10,105703,105703,495.048,0.907483,1.01155,1.00545,1.02014,0.780458
11,104845,104845,613.622,1.12501,1.00229,1.00255,0.996076,0.768567
12,103202,103202,586.047,1.07088,0.996032,1.00007,1.03952,1.00289
13,113426,113426,425.89,0.778689,1.04963,1.0029,1.00139,1.12407
14,103765,103765,563.163,1.0295,0.99009,0.995295,0.985274,0.929607
15,101116,101116,568.479,1.0382,0.974115,0.99225,0.990215,0.748689
16,104934,104934,499.102,0.918869,1.01429,1.01388,1.02816,0.816364
17,106345,106345,470.271,0.863183,1.01386,1.00632,1.0025,1.03227
18,103416,103416,497.648,0.9108,0.993092,0.999341,1.00458,1.03829
19,103333,103333,776.67,1.43019,1.00372,1.01244,1.02093,0.724235
20,102882,102882,419.512,0.769761,0.988891,1.00102,0.980047,0.827374
21,108350,108350,754.065,1.37881,1.01458,0.996992,0.97094,0.776302
22,98161.5,98161.5,688.809,1.24943,0.95255,0.980463,1.01609,1.03498
23,110639,110639,493.649,0.900109,1.02513,0.993749,0.977047,0.837241
24,106553,106553,479.018,0.881012,1.01101,1.00611,0.965469,1.28344
25,107863,107863,516.196,0.947307,1.02323,1.0073,1.00621,1.15323
26,100857,100857,583.568,1.06892,0.979506,0.999388,1.00728,1.29414
27,104468,104468,375.316,0.695278,1.01192,1.02033,0.984489,1.12539
28,105913,105913,739.669,1.33947,0.994693,0.982095,1.01091,1.07093
29,101502,101502,528.933,0.972754,0.987579,1.00666,1.00138,0.760122
30,105522,105522,513.865,0.943839,1.00679,1.00519,0.985413,1.0626
31,110188,110188,438.145,0.793367,1.0191,0.984286,1.01024,1.06337
32,104980,104979,675.281,1.23982,1.00251,1.00378,0.982491,0.858477
33,102581,102581,428.942,0.787356,0.992297,1.00436,1.006,0.795983
34,104411,104411,439.829,0.806619,1.00012,1.00281,0.995973,1.03948
35,97817.6,97817.5,451.778,0.836847,0.975217,1.01754,1.00348,0.630826
36,100726,100726,592.386,1.08142,0.97522,0.993622,1.01224,0.850494
37,97994.8,97994.8,456.02,0.835662,0.96186,0.997376,1.00049,0.989399
38,107148,107148,795.115,1.46428,1.01889,1.01045,0.979647,0.931098
39,98905.5,98905.5,379.437,0.7045,0.97873,1.01892,0.969252,1.30591
40,106993,106993,515.214,0.935563,1.01417,0.993376,1.06311,1.27047
41,102009,102009,714.232,1.31347,0.990141,1.00668,0.999287,1.42399
42,104426,104426,560.798,1.0288,1.00362,1.00522,1.01235,0.999443
43,108444,108444,547.67,0.997079,1.01468,0.99226,1.00066,1.23991
44,104022,104022,666.275,1.22237,0.991928,0.999406,0.960817,1.3053
45,98593.8,98593.8,382.985,0.705536,0.973672,1.00847,1.00848,1.23989
46,105271,105271,591.642,1.0823,0.98785,0.990351,0.919558,1.09803
47,104748,104747,618.04,1.1377,1.00945,1.01138,1.00866,0.736717
48,111285,111285,541.041,0.981431,1.02488,0.986417,0.99417,1.30384
49,111729,111728,582.723,1.07176,1.03804,1.00716,0.947867,0.788542
50,101729,101729,466.151,0.85839,0.986804,1.00685,0.980257,0.753933
51,102825,102825,714.288,1.30377,0.981948,0.991508,0.981949,0.864895
52,101249,101249,558.715,1.02609,0.989735,1.00725,1.03201,0.968023
53,109869,109869,621.112,1.12329,1.02451,0.98703,1.05876,1.00173
54,105879,105879,512.374,0.937461,1.00073,0.996488,0.969358,1.16083
55,105810,105810,571.96,1.04403,1.0051,0.996849,1.01279,1.17966
56,106498,106498,492.395,0.903016,1.01102,1.00328,0.988494,0.975038
57,98849.2,98849.2,570.22,1.04984,0.980793,1.01151,1.04411,1.25326
58,106435,106435,535.103,0.979906,1.01131,1.00212,1.00293,0.688961
59,105755,105755,608.827,1.10807,0.994157,0.987441,0.976119,1.41618
60,105946,105946,577.458,1.05647,1.00993,1.00172,1.01808,1.22617
61,108678,108678,462.892,0.848405,1.02231,1.00307,0.984881,0.962519
62,99930.3,99930.3,469.908,0.863294,0.977643,1.00409,1.00591,1.10652
63,108851,108851,564.578,1.01998,1.01253,0.981835,1.03322,1.18988
64,103150,103150,609.407,1.11591,0.985211,0.995884,0.965967,1.09647
65,100418,100418,586.848,1.09391,0.997279,1.03006,0.992492,1.18335
66,102721,102721,361.47,0.661654,0.980176,0.993676,0.954791,0.90116
67,102436,102436,743.357,1.35964,0.995109,1.00276,1.05251,0.963151
68,107071,107071,522.821,0.951807,1.00689,0.991534,1.0019,0.480524
69,102530,102530,562.798,1.02599,0.989387,0.995542,1.04195,0.788312
70,107329,107329,421.61,0.774708,1.01825,1.00721,0.98684,1.1857
71,104091,104091,403.603,0.744393,1.00895,1.01503,1.01303,1.17882
72,102167,102167,495.806,0.907817,0.991305,1.00235,1.03245,1.04113
73,101331,101331,576.91,1.05045,0.979049,0.991491,1.03257,1.2517
74,106935,106935,500.436,0.910036,1.00759,0.99117,1.01834,0.967143
75,105410,105410,560.135,1.0265,1.00349,1.00117,0.987642,0.832479
76,103183,103183,549.844,1.00215,0.983855,0.990096,0.991545,0.910536
77,99073.1,99073.1,621.752,1.13873,0.975226,1.00188,1.0436,0.964544
78,102115,102115,277.197,0.513913,1.00391,1.02331,1.01225,0.881208
79,107406,107406,498.274,0.914742,1.01829,1.00606,0.991362,0.847999
